id,title,author,year,genre
1,The Quantum Experiment,Alice Thompson,2018,Science Fiction
2,Echoes of Infinity,Benjamin Rodriguez,2021,Fantasy
3,Cipher of Shadows,Catherine White,2019,Mystery
4,Astral Journey,David Turner,2020,Adventure
5,Temporal Paradox,Emily Harris,2017,Science Fiction
6,Whispers in the Dark,Frank Miller,2022,Horror
7,Celestial Harmony,Grace Anderson,2016,Fantasy
8,Lost Constellations,Henry Carter,2015,Adventure
9,Chronicles of Light,Isabel Martinez,2023,Science Fiction
10,Eternal Echo,Jack Robinson,2018,Fantasy
11,Shadowed Secrets,Karen Brown,2021,Mystery
12,Voyage Beyond Time,Liam Davis,2019,Adventure
13,Galactic Whispers,Mia Thompson,2020,Science Fiction
14,Cursed Crypt,Nathan Scott,2017,Horror
15,Enchanted Realms,Olivia White,2022,Fantasy
16,Journey to the Unknown,Paul Adams,2016,Adventure
17,Spectral Symphony,Quinn Robinson,2015,Science Fiction
18,Ephemeral Echoes,Rachel Miller,2023,Fantasy
19,Cryptic Chronicles,Samuel Carter,2018,Mystery
20,Infinity's Embrace,Tessa Davis,2021,Adventure
21,Whispers of the Stars,Ulysses Anderson,2019,Science Fiction
22,Dark Descent,Violet Martinez,2020,Horror
23,Mystic Mosaic,William Scott,2017,Fantasy
24,Lost Legends,Xavier White,2022,Mystery
25,Abyssal Adventures,Yvonne Adams,2016,Adventure
26,Quasar Quest,Zane Brown,2015,Science Fiction
27,Labyrinth of Shadows,Alice Thompson Jr.,2023,Fantasy
28,Eternal Eclipse,Benjamin Rodriguez Jr.,2018,Horror
29,Secrets of the Spheres,Catherine White Jr.,2021,Mystery
30,Vortex Voyage,David Turner Jr.,2019,Adventure
31,Parallel Paradox,Emily Harris Jr.,2020,Science Fiction
32,Whispers Reborn,Frank Miller Jr.,2017,Fantasy
33,Celestial Serenade,Grace Anderson Jr.,2022,Mystery
34,Found Constellations,Henry Carter Jr.,2016,Adventure
35,Chronicles of Darkness,Isabel Martinez Jr.,2015,Science Fiction
36,Eternal Echoes Returned,Jack Robinson Jr.,2023,Fantasy
37,Shadowed Secrets Unveiled,Karen Brown Jr.,2018,Mystery
38,Voyage Beyond Time Redux,Liam Davis Jr.,2021,Adventure
39,Galactic Whispers Resurfaced,Mia Thompson Jr.,2019,Science Fiction
40,Cursed Crypt Revisited,Nathan Scott Jr.,2020,Horror
41,Enchanted Realms Rediscovered,Olivia White Jr.,2017,Fantasy
42,Journey to the Unknown Continued,Paul Adams Jr.,2022,Adventure
43,Spectral Symphony Replayed,Quinn Robinson Jr.,2016,Science Fiction
44,Ephemeral Echoes Echoed,Rachel Miller Jr.,2023,Fantasy
45,Cryptic Chronicles Continued,Samuel Carter Jr.,2018,Mystery
46,Infinity's Embrace Extended,Tessa Davis Jr.,2021,Adventure
47,Whispers of the Stars Reimagined,Ulysses Anderson Jr.,2019,Science Fiction
48,Dark Descent Revived,Violet Martinez Jr.,2020,Horror
49,Mystic Mosaic Mended,William Scott Jr.,2017,Fantasy
50,Lost Legends Continued,Xavier White Jr.,2022,Mystery
